loss_func_list,grad_norm_list
3709.137616854174,7418275233.720691
6.278288874492198e-26,7418275233.720691
4.9002225110025143e-26,1.3645380800150865e-12
1.0187559242313147e-25,1.0672342429824417e-12
4.6077094784505616e-26,4.273972142837244e-12
1.0053246467254135e-25,4.273972142837244e-12
4.3890952926814707e-26,9.53674316407579e-07
1.530033143606077e-25,9.536743164072338e-07
2.031784918587439e-26,9.536743164134993e-07
1.0275092315321659e-25,3.819310962977036e-12
7.857814067956248e-26,9.536743164110514e-07
1.104173948678621e-25,9.53674316410026e-07
1.4167319849804883e-25,1.9073486328177232e-06
3.8296783373073817e-26,2.8610229492223876e-06
5.918602101781941e-26,1.907348632812737e-06
1.2280160550757214e-25,2.2081766049117767e-12
1.2477563420416948e-25,1.9073486328152444e-06
1.8128476811813364e-25,2.8610229492208866e-06
1.414195618058718e-25,1.907348632813953e-06
2.6093196593199225e-25,9.536743164274487e-07
6.692398190384961e-26,9.53674316427674e-07
6.639343192278067e-26,9.536743164279057e-07
8.159141927789265e-26,2.861022949221039e-06
5.400191324560016e-26,9.536743164086763e-07
7.325425343791497e-26,1.907348632813073e-06
7.25816373307948e-26,9.536743164108939e-07
3.757682087827631e-26,1.252249680309217e-12
5.08839893400382e-26,4.4046314371749285e-12
6.458998592284561e-26,1.9603254694961658e-12
6.397368911101367e-26,9.5367431640859e-07
8.706433690456679e-26,1.907348632814241e-06
6.399628103963331e-26,9.536743164103183e-07
2.210768886630869e-25,1.907348632813738e-06
6.567951212948017e-26,6.494174026394115e-12
1.8835392585314757e-25,9.536743164162526e-07
2.497905363149799e-25,9.53674316410708e-07
1.8093919793043326e-25,1.90734863281808e-06
1.061145560455255e-25,3.1553218080907923e-12
6.459829582907315e-26,9.536743164182457e-07
6.430141160962292e-26,9.536743164097855e-07
7.689307966737896e-26,1.9073486328127257e-06
5.801520824158006e-26,9.536743164082376e-07
9.808014234835262e-26,2.2427952517728207e-12
8.955968806668353e-26,9.53674316413739e-07
7.658076894166718e-26,9.536743164152023e-07
6.049247338077505e-26,2.4764835369224987e-12
8.36148457664476e-26,2.761772765362649e-12
1.0881481710185432e-25,9.536743164071796e-07
2.5320984158270875e-26,2.145980224783292e-12
4.043604019960557e-26,2.861022949219865e-06
4.758183049451367e-26,9.536743164068192e-07
5.257823299360356e-26,1.9073486328139243e-06
9.513485071409976e-26,9.536743164089076e-07
3.5393610709665345e-25,2.861022949221556e-06
9.397315124576426e-26,5.7220458984388315e-06
3.4119904201700737e-25,3.814697265625946e-06
2.0233233501915985e-25,2.8610229492272784e-06
1.3718092819157372e-25,8.207048504030512e-12
7.676386026442877e-26,5.612855873732913e-12
1.931835298190264e-25,3.495870259939693e-12
6.081650136797199e-26,9.536743164108727e-07
7.896693903894012e-26,2.879618536038354e-12
5.68458678387832e-26,9.536743164156427e-07
1.124674062192939e-25,9.53674316410838e-07
