loss_func_list,grad_norm_list
3709.137616854174,7418275233.720691
1612.0285493790027,16973893820.85827
600.1275105652718,10356592407.498877
210.5010667218647,6133696276.691843
96.02851463211341,4142811968.8397555
46.58684067260172,2885537657.0737886
24.60408090371351,2097001252.486727
13.637717882385562,1561226691.9931133
7.891608823669542,1187621063.310463
4.7169087348762355,918171595.5254381
2.8971371897594334,719580933.0456556
1.8197656608661632,570299314.3536624
1.165038678810651,456315571.064045
0.7581364245918313,368102526.30622214
0.5003787250444757,299050501.2989757
0.3343690805522509,244460205.29410312
0.2258908629572271,200929844.8590608
0.15409555989273613,165954937.93404436
0.1060370149945995,137665102.8118526
0.07354006997857317,114645532.55682278
0.05136494479428764,95813902.53415123
0.0361082866051863,80333845.58044733
0.02553298384597516,67553196.1861466
0.01815258751752912,56959266.277016036
0.012969728151087295,48146037.889759056
0.009309217728166003,40789812.65186706
0.00671024600578464,34630944.61265222
0.004855962465303215,29460002.35540523
0.003527004948768279,25107192.42986088
0.0025705418804092073,21434208.878622428
0.0018794700231819412,18327904.71327493
0.0013783243390892872,15695343.657920247
0.0010136635364624128,13459906.058850747
0.0007474645948567243,11558205.979417004
0.0005525556377311722,9937636.884801231
0.0004094394136406853,8554407.605734752
0.0003040717435604698,7371963.034370289
0.00022629980491151123,6359708.447335334
0.0001687589546691876,5491974.726032811
0.0001260899205423929,4747175.6593239615
9.438095456627437e-05,4107119.12359921
7.076870466337661e-05,3556442.077321247
5.315156623984437e-05,3082145.5935310144
3.99830810423831e-05,2673211.0352541576
3.012252802467426e-05,2320282.2899876097
2.272652967517032e-05,2015401.970378414
1.7170176839832518e-05,1751791.8467302858
1.2989469005140475e-05,1523669.6455074865
9.839195470742774e-06,1326095.834748567
7.462035619903009e-06,1154845.2052354952
5.665834137792069e-06,1006299.0091216617
4.306849250318602e-06,877354.1849799447
3.277376449905882e-06,765346.8181489327
2.496585375908593e-06,667987.4879123357
1.9037218338910655e-06,583306.5619640518
1.4530546702762289e-06,509607.83208359627
1.1101126518827384e-06,445429.158069398
8.488770358253562e-07,389509.0109631343
6.496835411064873e-07,340757.9908824868
4.976518999805551e-07,298234.5469327166
3.8150847134324903e-07,261124.25238843492
2.92702207721793e-07,228722.0925668707
2.2473991993233225e-07,200417.30945811234
1.726857435635023e-07,175680.41922121667
1.3278373893738376e-07,154052.07888533472
1.0217296637695444e-07,135133.52880309653
7.867210837690125e-08,118578.37958641707
6.061646823280724e-08,104085.54753416212
4.673446451242857e-08,91393.17229190773
3.605394714925661e-08,80273.37551034932
2.783105728072523e-08,70527.74029075912
2.1496150005819124e-08,61983.40907107175
1.6612645665201877e-08,54489.71265611178
1.284568858442501e-08,47915.25582893714
9.938252838178997e-09,42145.39585788109
7.692909215700949e-09,37080.05932432622
5.95789952074773e-09,32631.850602204253
4.616491697310082e-09,28724.411915826906
3.5788359383728813e-09,25291.000585598107
2.775729264525339e-09,22273.253946341378
2.1538374835965445e-09,19620.1165170996
1.6720312371086086e-09,17286.907571821364
1.2985741766462773e-09,15234.51027014406
1.0089636471523632e-09,13428.666120551516
7.842712142412953e-10,11839.360758801131
6.098665368100601e-10,10440.288954752172
4.744353311400553e-10,9208.388389602722
3.692232084557505e-10,8123.4331760541645
2.8745303353450913e-10,7167.679287922387
2.2387575199054386e-10,6325.55512620071
1.7442386618100415e-10,5583.391371736279
1.3594398893921351e-10,4929.1850271306985
1.0599027454406414e-10,4352.393226630777
8.266481768466142e-11,3843.753002173143
6.449424462302297e-11,3395.1236591395595
5.033426601099286e-11,2999.3488836338356
3.9295797390902396e-11,2650.1360511823877
3.06877624718907e-11,2341.950586322866
2.397277560937854e-11,2069.9234180484877
1.873280158327486e-11,1829.7699146301195
1.4642520842055693e-11,1617.7188386944028
1.1448673503381558e-11,1430.4500560784295
8.954023265926482e-12,1265.0399112722464
7.004911370431853e-12,1118.91330433078
5.481584565159423e-12,989.8016557709949
4.2906828684815135e-12,875.705991746452
3.3593969455736744e-12,774.8645305646437
2.630926816443536e-12,685.7242307674372
2.0609461026395687e-12,606.9157886515225
1.6148528788003161e-12,537.2316551217433
1.2656270879342311e-12,475.60673713763214
9.921633391883655e-13,421.10141182015855
7.77970798059356e-13,372.88659191193636
6.101609524072476e-13,330.23059463555916
4.786572535866602e-13,292.4875888829329
3.7557998110476007e-13,259.08741188092415
2.9476502996106724e-13,229.52663612403913
2.313895510803642e-13,203.3606710437343
1.8167872395851765e-13,180.1968278887886
1.426775144951594e-13,159.68820953395706
1.1207183392514583e-13,141.52831745171255
8.804924243548956e-14,125.44630718252068
6.91896794972514e-14,111.20280647296336
5.4380400829360376e-14,98.58622741715618
4.274912951876475e-14,87.4095134736562
3.3612039171713916e-14,77.50726985944289
2.6432827037096398e-14,68.73324012767786
2.0790864423454243e-14,60.958069801431954
1.635611148108447e-14,54.06733608254848
1.2869608084567475e-14,47.95981693275798
1.0128072930770113e-14,42.545950889658215
7.97193784159847e-15,37.746490478578394
6.275879451556681e-15,33.49129867559286
4.94150046937623e-15,29.718291282703223
3.8914777293862665e-15,26.372520446821248
3.0650791582814865e-15,23.405335426369476
2.4145616165685872e-15,20.773659706150315
1.902411657729195e-15,18.439348220855845
1.4991252812223447e-15,16.36861896517619
1.181515074902621e-15,14.5315494537595
9.313349748707337e-16,12.901634216330088
7.342415894151094e-16,11.455393791217759
5.789422243218748e-16,10.17202472688463
4.56559136361393e-16,9.03308868409703
3.600973422335263e-16,8.022253990186718
2.8405824116614285e-16,7.125037193310164
2.241064824939135e-16,6.328608512888977
1.7683402586011363e-16,5.621591568002487
1.3955187396408946e-16,4.993900299080604
1.1014606648565062e-16,4.4365940094067655
8.694781587476611e-17,3.9417409896916467
6.864590450047036e-17,3.502309799200133
5.4203441984772e-17,3.1120700836233715
4.280601561197037e-17,2.765487670903009
3.380968248541642e-17,2.4576549530070486
2.670845322053382e-17,2.1842241287267488
2.110162748005699e-17,1.9413347244295294
1.6674768153326978e-17,1.7255582809476653
1.3178532802329672e-17,1.5338573455836366
1.0417543450197091e-17,1.3635320663474537
8.236358919542673e-18,1.212191581728121
6.513484695113085e-18,1.0777101516741265
5.15200658820123e-18,0.9582033157364874
4.0764309642252246e-18,0.8519945144667199
3.22625481367692e-18,0.7576017379773647
2.554431794438055e-18,0.6737041473399584
2.023275763232083e-18,0.5991287231455581
1.6034592605489942e-18,0.532836914063357
1.2714551674080617e-18,0.47390365600667794
1.009023156090307e-18,0.4215126037604374
8.0142462228512e-19,0.37493228912418913
6.372926109871563e-19,0.33351802825980287
5.073992340516976e-19,0.2966928482060903
4.047067158274953e-19,0.2639436721805857
3.234193270365233e-19,0.2348222732548156
2.591390994393716e-19,0.20892524719270128
2.0823473067113757e-19,0.1858921051028789
1.6798852687302622e-19,0.16540527343774625
1.3610565677952536e-19,0.14718437194851783
1.108908585344023e-19,0.13097763061542358
9.090704395117848e-20,0.11655807495139682
7.511166226534176e-20,0.10373115539565196
6.258524654513979e-20,0.09231948852557556
5.268200351070195e-20,0.08216857910167114
4.482929740174152e-20,0.07313632965103233
3.861952283822352e-20,0.06510162353523694
3.3692515503360654e-20,0.057950973510870855
2.979766669527486e-20,0.05158996582037128
2.670513661343106e-20,0.04592895507823431
2.425920112914565e-20,0.040890693664592484
2.2317482351897337e-20,0.03640460968027005
2.0783728027400526e-20,0.032414436340360536
1.956390859055707e-20,0.0288629531861179
1.8600883256509047e-20,0.02570247650148333
1.7832302873009922e-20,0.022888183593824087
1.7228427453894386e-20,0.020380020141612634
1.6744783292964107e-20,0.018150329589911574
1.636532770922973e-20,0.016161918640142593
1.606188649213971e-20,0.014394760131899557
1.5823172038950345e-20,0.012821197509768229
1.5632046992672168e-20,0.011419296264709675
1.5482203925780372e-20,0.010170936584473737
1.5361658376640175e-20,0.009059906005919926
1.5267827920272744e-20,0.008069038391114502
1.519171874762588e-20,0.007188796997131832
1.5132628343551684e-20,0.006403923034670996
1.508479278660337e-20,0.005704879760806375
1.504775812521803e-20,0.0050830841064519044
1.5017714479066888e-20,0.004529953002998374
1.4994324333894647e-20,0.0040378570556761475
1.4975325356720057e-20,0.003598213195876034
1.4960661967590476e-20,0.0032072067260940328
1.494851028570642e-20,0.0028581619263537746
1.4939377757969382e-20,0.0025472640991512775
1.4931633194205294e-20,0.0022706985474594044
1.492582550070768e-20,0.0020236968994577975
1.4920842485276276e-20,0.0018005371094866754
1.491732500760886e-20,0.001601219177307637
1.4914211523321278e-20,0.0014266967774754806
1.49120716233315e-20,0.0012702941895372387
1.4910020051957073e-20,0.0011329650880476626
1.490863434268668e-20,0.0010089874268704138
1.4907358131254238e-20,0.0008974075319278408
1.49064908622823e-20,0.0007991790772976604
1.4905704567376166e-20,0.0007123947145857909
1.4905211663058823e-20,0.0006341934206053537
1.490470113641643e-20,0.0005664825442267293
1.4904355197551522e-20,0.0005064010622631701
1.4904025812559178e-20,0.00045013427768976304
1.4903812453004017e-20,0.0004014968875315956
1.4903642064595745e-20,0.0003576278690797817
