loss_func_list,grad_norm_list
3.235586245879765e-26,1.616355884047855e-12
1.057929095670013e-25,9.53674316409293e-07
1.0108193460419797e-25,2.8610229492199803e-06
9.01408331903565e-26,3.8146972656262485e-06
6.320209070107019e-26,9.53674316413902e-07
1.1902202471034905e-25,4.373804665554082e-12
5.172244871911702e-26,3.814697265625727e-06
9.33277720251036e-26,9.53674316415462e-07
2.108688282528128e-25,9.536743164101137e-07
2.9331732150417926e-25,1.9073486328143245e-06
1.9806744915008634e-25,9.53674316418186e-07
9.725168538273647e-26,9.536743164092451e-07
1.6492479876076332e-25,2.861022949221009e-06
5.005382734864229e-26,9.53674316413066e-07
4.7147848663082743e-26,2.3897908942646957e-12
7.380594454457645e-26,9.536743164103179e-07
6.471318669842309e-26,2.453050392587736e-12
3.469162576941512e-26,9.53674316407391e-07
1.1861000955438132e-25,9.536743164088055e-07
6.012597709756043e-26,3.95153763098269e-12
1.5695389452943654e-25,1.9073486328144655e-06
2.194297382337077e-25,9.536743164118836e-07
1.2516295739750622e-25,1.9073486328215484e-06
3.510310734649176e-26,6.402837754940577e-12
7.875241759874759e-26,9.536743164086967e-07
2.080367021435692e-26,1.9073486328133182e-06
4.711402326657998e-26,9.53674316409647e-07
8.68959774051358e-26,1.675013136186189e-12
7.331942912205247e-26,1.907348632813456e-06
8.772522101683773e-26,1.9073486328127744e-06
1.2318826724026947e-25,5.654277477503319e-12
6.515279831197095e-26,9.536743164157448e-07
1.1942459077252713e-25,9.536743164106508e-07
1.124767356165375e-25,9.536743164076764e-07
7.132240019968727e-26,1.907348632816015e-06
3.487114295138592e-26,9.536743164186772e-07
9.083496703866984e-26,2.8610229492197825e-06
1.3447579212507318e-25,9.53674316410735e-07
4.28661433589154e-26,2.824065489053145e-12
8.26601708634031e-26,1.907348632814018e-06
1.8103925856143243e-25,9.536743164092862e-07
3.3131666907146677e-26,2.8610229492255487e-06
7.658646487947771e-26,3.103469775443715e-12
3.925451549731204e-26,9.536743164140092e-07
6.178264085049294e-26,1.9073486328143736e-06
4.6667737246513343e-26,4.405915024973465e-12
4.0817354491515814e-26,2.772100323285632e-12
1.131581260678913e-25,9.53674316406854e-07
4.683386478573178e-26,9.536743164108477e-07
2.449602391106176e-26,1.235935934866967e-12
5.488742964138217e-26,2.9935022943915077e-12
7.099081226338314e-26,2.8610229492202327e-06
4.12676558829235e-26,9.536743164075925e-07
4.3453991970649303e-26,1.460956040496737e-12
6.692902735882142e-26,2.242615158204315e-12
1.5220083886401681e-25,1.9073486328137777e-06
9.57564011739305e-26,1.9073486328171794e-06
1.40589621200123e-25,1.907348632817292e-06
1.3514455877971701e-25,9.53674316414531e-07
1.2618212100547706e-25,2.8610229492209667e-06
5.315000634957415e-26,3.509016577470488e-12
7.798604702934165e-26,1.9073486328149835e-06
4.795302864679803e-26,9.536743164091867e-07
7.536772938102517e-26,1.907348632817225e-06
1.0127628934305332e-25,1.907348632816566e-06
3.239580239398435e-26,3.814697265627825e-06
7.758457643611594e-26,9.536743164201778e-07
1.2389623225077492e-25,1.907348632813617e-06
1.3449562929979687e-25,9.53674316407462e-07
7.198358947555791e-26,3.4195049100622245e-12
9.160958877344001e-26,2.8610229492207393e-06
1.4420596325674773e-25,9.536743164104661e-07
7.19335096155105e-26,1.90734863281881e-06
2.6278135942038953e-25,2.6348396275159477e-12
2.106761264433322e-25,4.768371582035951e-06
5.418444739682884e-26,9.536743164156118e-07
9.640875283876882e-26,4.9729261211972836e-12
9.155313447046268e-26,4.381209043879338e-12
3.753997437176628e-26,9.53674316409357e-07
7.227674807982722e-26,9.536743164133884e-07
6.032197022501947e-26,2.5014333829958704e-12
